#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
923,67,Универзитет у Новом Саду,Департман за ветеринарску медицину на Пољопривредном факултету,Државни факултет,1165,Ветеринарска медицина,Доктор ветеринарске медицине,Медицинске науке,Интегр. академске,125400,3000,300,612-00-00677/2013-04,13/12/2013,60,52,25,38,34,51,0,25,16,13,24,171,0,0,0,0,1,0,0,27,97,0,200,249,1,450,10,5,97,77,41,51,59,222,0,MD,Државни факултет,222
924,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1167,Сточарство,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,74800,2000,240,612-00-00677/2013-04,24/05/2013,60,47,17,36,53,,,4,4,5,82,,,0,0,0,0,,,13,23,9,153,95,0,248,8,4,32,51,21,41,135,,,TT,Државни факултет,135
926,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1169,Воћарство и виноградарство,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,74800,2000,240,612-00-00677/2013-04,24/05/2013,50,46,15,8,36,,,11,9,22,52,,,0,0,0,0,,,5,34,1,105,94,0,199,8,4,35,57,24,30,88,,,TT,Државни факултет,88
927,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1171,Пољопривредна техника,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,63800,2000,240,612-00-00677/2013-04,17/05/2013,30,23,15,7,18,,,0,1,9,31,,,0,0,0,0,,,8,15,3,63,41,0,104,8,4,18,23,16,16,49,,,TT,Државни факултет,49
928,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1172,"Уређење, коришћење и заштита вода",Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,63800,2000,240,612-00-00677/2013-04,24/05/2013,30,10,10,6,21,,,3,2,4,20,,,0,0,0,0,,,11,8,2,47,29,0,76,8,4,10,13,12,10,41,,,TT,Државни факултет,41
929,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1173,Агроекономски,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,74800,2000,240,612-00-00677/2013-04,14/06/2013,90,70,43,48,101,,,12,8,14,169,,,1,0,0,0,,,27,80,3,262,203,1,466,8,4,83,83,51,62,270,,,DH,Државни факултет,270
931,3,Универзитет у Београду,Факултет за специјалну едукацију и рехабилитацију,Државни факултет,1266,Логопедија,Дипломирани дефектолог,Друштвено-хуманистичке науке,Основне академске,84000,1680,240,612-00-00377/2014-04,10/03/2015,60,43,55,56,56,,,20,7,12,48,,,0,0,0,0,,,66,150,3,210,87,0,297,8,4,153,63,62,68,104,,,DH,Државни факултет,104
933,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1176,Хортикултура,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,74800,2000,240,612-00-00677/2013-04,17/05/2013,30,11,4,12,18,,,1,6,0,32,,,0,0,0,0,,,12,6,0,45,39,0,84,8,4,6,12,10,12,50,,,TT,Државни факултет,50
937,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1179,Агроиндустријско инжењерство,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,74800,2000,240,612-00-00677/2013-04,19/04/2013,25,0,5,4,13,,,0,1,5,4,,,0,0,0,0,,,0,4,0,22,10,0,32,8,4,4,0,6,9,17,,,TT,Државни факултет,17
938,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1180,Пејзажна архитектура,Дипломирани инжењер пејзажне архитектуре,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,74800,2000,240,612-00-00677/2013-04,17/05/2013,50,28,23,22,48,,,2,5,0,54,,,0,0,0,0,,,42,30,2,121,61,0,182,8,4,32,30,28,22,102,,,IMT,Државни факултет,102
939,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1181,Агроекологија и заштита животне средине,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,74800,2000,240,612-00-00677/2013-04,24/05/2013,50,25,4,9,25,,,12,10,3,38,,,0,0,0,0,,,17,15,5,63,63,0,126,8,4,20,37,14,12,63,,,TT,Државни факултет,63
942,66,Универзитет у Новом Саду,Пољопривредни факултет,Државни факултет,1184,Органска пољопривреда,Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,74800,2000,240,612-00-00677/2013-04,17/05/2013,50,18,6,9,27,,,9,7,15,48,,,0,0,0,0,,,14,11,2,60,79,0,139,8,4,13,27,13,24,75,,,TT,Државни факултет,75
